birokracija
slikica
smehec
smehec
smejčkati
smejčkati
smučkati
smučkati
spančkati
spančkati
stojčkati
stojčkati
ta
tiček
tiček
trebušek
učičkati
učičkati
umrčkati
umrčkati
vlakec
vstančkati
vstančkati
vzet
zaajati
zaajati
zahvaliti
zasmejčkati
zasmejčkati
zaspančkan
zaspančkati
zaspančkati
zebkati
zebkati
zlati
zobček
zobek
zobček
zobek
aparatčik
avstrijakant
avstrijakantstvo
babeti
babetina
babiti
babjak
babji
bable
babovje
babše
babur
bahavs
banavz
banavzarski
banavzarstvo
baraba
barabije
barabstvo
barantač
belu
beračon
besedavelj
besedun
bezgalnik
bizniški
blebeti
blebetač
blebetav
blebetavec
blebetavost
blebetuljati
bledu
blekata
blekniti
burkaštvo
bušaka
butast
butec
butelj
cafuti
cander
cander
candrati
candrav
capajder
capasti
cepetati
cerber
ciganča
ciganije
cigararica
cigumiganje
cigumig
cmer
cmeriki
cunder
časopisar
čečkarije
čečkariti
čeljustač
čeljustata
čeljustav
čeljustiti
čeljustnik
čenčalast
čenčur
česnač
česnata
čičkast
čičkati
čifuta
čifutarije
čifutski
čistunstvo
čoboder
čorba
čorbast
črkar
črkogriz
črnavs
črne
črnjaka
črnkljati
črnoborzijanec
črnoborzijaniti
črnogelj
črnosrajčnik
črnosuknjar
črnosuknjež
črnu
črnuh
črnuljati
črvivec
čveki
čvekač
čvekalast
čvekast
čvekav
čvekavost
čvekniti
debelu
debeluh
debeluhar
debeluharica
debeluhinja
debeluštvo
deklamatoričnost
deklamatorstvo
demokratarstvo
devetkač
devetkata
devetketi
dežmanstvo
diletantizem
divjaštvo
dobičkar
dobičkariti
dobičkarstvo
dobičkolovec
dolgogrivec
dolgovezen
dolgoveziti
dolgoveznež
dolgoveznost
drajen
dremu
dretar
drgajsati
drhati
drzun
dvoživkarstvo
džaura
fakinaž
fakinstvo
fante
far
farizejstvo
filozofaster
firerski
flajder
flander
frakar
frakarije
frakarstvo
frakcionaštvo
frazariti
frazast
frazer
frazerski
frazerstvo
frfuljati
frica
gizdalinček
gladu
glavač
glavač
glavur
gobcata
godrnjati
golsniti
goltač
goltnež
goltnost
govorač
govoranec
govorancar
govorančiti
govorun
govorunstvo
grdavs
gregor
grupaštvo
haloder
hejslovanstvo
hijenski
hišur
hlačon
hlapče
hlapčon
hord
hujskarije
importiranec
iškarijoti
iškarijotski
italijanati
izbevskati
izblebetata
izblekniti
izcmeriti
izčeljustata
izčesnata
izčvekata
izjeguljiti
izkolcat
izkrehati
izlajati
izlizanec
izragljata
izsliniti
iztrobezljata
izvrženka
jenka
jezikač
jezikuljati
judek
judeštvo
jugoslovenar
jugoslovenarstvo
juristarije
kalužati
kameleonstvo
kapitulant
kapitulantstvo
karierist
karierizem
kašljač
kilavost
klanovec
klanstvo
klatariti
klečeplazec
klečeplaziti
klečeplaznost
kleki
klepetalast
klepetati
klepetuljati
klepetuljast
klepetun
klerikalstvo
klerofašist
kliki
klikar
klikarstvo
klobasač
klobasar
klobasarije
klobasariti
klobasata
klopotati
kmetač
kmetavz
kmetavzar
kmetavzarstvo
knjigobrbec
knjigožer
knjižur
kočur
kolovodje
komolčar
komolčarstvo
konjedernica
koristolovec
koristolovstvo
koritar
koritarstvo
kozlarije
kracata
krehač
krevs
kreves
krevse
krevse
kričač
krmežljavec
krpariti
krpucat
kruhoborec
kruhoborstvo
krvoses
ksantip
kulturtreger
kutar
kvasač
kvasiti
kvekast
kvesturin
lahon
lajavt
lajnast
lenu
lenuhar
lenuhinja
liberalu
limonadast
lizun
lizunski
lizunstvo
lop
lopovski
lopovstvo
lopovščina
lump
lumparije
madžaron
madžaronstvo
mahedrati
mahedravec
makaronščina
manipulantstvo
mečkač
mečkalast
mencorititi
mevž
mevžast
mevžavost
mevže
mevže
mladikavec
mlekoses
modraka
modrije
modrijarh
mogočnjaka
mogočnjaštvo
može
mrcien
mrhač
mrhež
mrlakar
muksniti
nablebetata
nacmeriti
načečkata
načičkanec
načičkanost
načičkati
načvekata
nadrdrata
nakacata
nakracata
nakvasiti
nalokati
namašit
napleteničiti
naprednjakar
narežati
narodnjakar
narodnjakarstvo
nasvinjata
našemljenost
natrobezljata
natrobit
nazadnjakar
nazijata
negoden
nemčur
nemčuriti
nemčurstvo
nemoralnež
nemškutar
nemškutariti
nemškutarstvo
nerg
neslanež
neslanost
nestrokovnjaštvo
niče
niče
nihče
nihče
novočrkar
obabiti
obzijata
očeljustata
očitar
oguljenec
ojezikata
one
opičarije
oslarije
osvinjata
packač
packarije
paču
paglav
paglavstvo
paglavščina
pajacelj
pankrt
pankrtski
papagajstvo
papeževec
papežnik
papežništvo
papist
papizem
parolarstvo
peresar
perogriz
perogrizec
peroprask
pesjan
pesmar
pesmariti
pesnikun
petolizec
petoliznik
petolizniški
petolizništvo
pijandur
pijandurski
pismarski
pismouštvo
pisun
pisuniti
pisunstvo
plačanec
plahun
pleteničiti
pobabiti
pobarabiti
poburžujiti
pocestnica
počasne
počasne
počasneti
počvekata
podrepnik
podrepništvo
poduhovičiti
pogolten
pogoltnost
pogrošen
pojedu
pojuditi
pokracata
pokveki
pokvekast
poležu
pomalomeščaniti
pomijast
ponemčuriti
ponočnjakar
popovstvo
posvinjata
povaljanec
pozer
pozerski
pozerstvo
požeruhinja
požerun
požeruštvo
požrten
praskač
predolgovezen
prekilava
prekmeček
prepelju
presmrkav
pricincati
pricmeriti
prifrknjenec
prifrknjenost
prilagodljivec
prilizun
primitivizem
primitivek
prirepnik
prirepništvo
priskuti
priskutnež
priskutnica
prislinjenec
prismod
prismodarije
prismodast
prismode
prismode
prismodež
prišantata
prodanec
propalica
protekcionaštvo
protipropaganda
pustu
računarski
računarstvo
ragljast
razbijaštvo
razblebetata
razcmeriti
razčvekata
razdiraštvo
raztrobentati
raztrobezljata
raztrobit
rdečkar
rdečkarstvo
rdeču
regniti
revkniti
režav
režimovec
rimarije
rjavosrajčnik
robavs
robavsast
rodoljubar
rokač
rokomav
rokomavhar
rokomavharski
ropotač
ropotati
rovtarstvo
scmariti
scmeriti
sčečkata
senilnež
sklobasata
skoporiti
skoporitec
skoporititi
skoporitnež
skoporitnica
skoporitnik
skoporitost
skracata
skrpucati
skrpucat
sledu
slinavec
slinež
smolec
smradu
smrču
smrde
smrde
smrdu
smrduh
smrduljati
smrkavec
smrkljati
smrkovje
sofizem
soldateski
sovjetije
spakarije
spakedranek
spakedranost
spakedranščina
spakedrata
spleteničiti
spretnjakovič
starče
staru
staruh
staruhast
stikavt
stiskaški
stiskaštvo
stiskav
stiskavost
stiskavt
stisnjenec
stremu
stremuški
stremuštvo
strokovnjakar
strokovnjakarstvo
svetohlinec
svetohliniti
svetohlinek
svetohlinski
svetohlinstvo
svinjarije
svinjata
svinjstvo
svobodnjakar
svojati
šantač
šantast
šantata
šantava
šantavec
šantavost
šarlatan
šarlatanstvo
ščati
ščav
šemast
širokorititi
šivač
šivankar
šivankarica
šivankarstvo
škrip
škripati
šleti
šlevast
štorast
švabarije
švabobranec
švabobranski
švabski
švabščina
šveder
tacar
tapica
tapek
tatin
tatinec
teleban
telebanast
tendenciozen
tendencioznost
tepčevski
tepec
tercijalec
tercijalka
tercijalstvo
tintar
tintomaz
trde
trde
trobezljač
trobezljata
troti
tutek
tvest
učenjakar
učenjakarica
učenjakarski
učenjakarstvo
udiniti
umetničiti
umetnjakar
umetnjakarski
umetnjakarstvo
uslugar
uslugarstvo
vandati
vandalizem
vandalstvo
vlačugarica
vlačugariti
vreščati
zabavljač
zabavljaški
zabavljaštvo
zabitež
zabitost
začečkata
začvekata
zadrtež
zadrtost
zagoveden
zagovednež
zagovednost
zajčevstvo
zajezikata
zakacata
zakracata
zaleteti
zalokati
zamorkljati
zanikrnež
zanikrnost
zaonegavit
zarobljenec
zarobljenost
zasvinjata
zašantata
zavalju
zavlačugati
zbebit
zelenoba
zgagar
zguba
zijač
zijalost
zijavek
zijavost
zlajnat
zlodejevec
zlodejevka
zlodejevski
zlodejski
zlodejstvo
zmanipulirati
zmene
zmene
znergata
zoboder
žabur
ženišče
ženščad
ženšče
ženščina
ženščur
žlobudrač
buzarant
cipariti
ciparen
curati
cuzek
drekast
drekata
drkati
fucka
fukati
gavzniti
jajcati
jebati
jebent
kupleraje
kurba
kurbarije
kurbati
kurbir
kurbirstvo
kurbišče
kurec
napizditi
nasrata
oscanek
oscata
osrane
osrane
osranec
oščajati
pezdet
piček
pizd
pizdarije
pizditi
pizdun
podrekata
pofukan
pofukati
popizditi
poscane
poscanec
poscanek
poscata
posrane
posranec
posrata
poščivati
prdet
prdniti
prescata
riten
ritolizec
ritoliznik
scalnica
scata
skurbati
spezdeti
spizditi
sprdniti
srata
strahopezdljiv
strahopezdljivec
strahopezdljivost
širokoriten
širokoritnež
uscane
uscane
uscanec
uscanek
uscati
usrane
usrane
usranec
usranek
usrati
vritmepišiti
zadrekata
zajebancija
zajebanec
zajebati
zajebavati
zakurbata
zasrata
zjebati
